date,index_value,daily_return
2020-10-08,1440.8955479091,0.0093151756
2020-10-09,1460.2185687931,0.0134104244
2020-10-12,1494.7709151638,0.0236624483
2020-10-13,1505.2877156627,0.0070357273
2020-10-14,1495.5997007281,-0.0064359888
2020-10-15,1483.8176615455,-0.0078778026
2020-10-16,1473.8029396624,-0.0067492942
2020-10-19,1459.3209919819,-0.0098262443
2020-10-20,1460.4656446942,0.0007843735
2020-10-21,1450.1446270298,-0.0070669363
2020-10-22,1451.0151763483,0.0006003190
2020-10-23,1451.9080410388,0.0006153379
2020-10-26,1417.2749195284,-0.0238535228
2020-10-27,1418.7993926225,0.0010756368
2020-10-28,1376.4493345907,-0.0298492220
2020-10-29,1389.4043529022,0.0094119108
2020-10-30,1361.5067610521,-0.0200788142
2020-11-02,1369.6644530184,0.0059916647
2020-11-03,1408.6341112114,0.0284519746
2020-11-04,1455.0299597811,0.0329367635
2020-11-05,1496.7278455528,0.0286577506
2020-11-06,1518.5129655762,0.0145551645
2020-11-09,1485.0724821960,-0.0220218623
2020-11-10,1449.2060358653,-0.0241513103
2020-11-11,1490.5127629964,0.0285030052
2020-11-12,1482.4909358027,-0.0053819245
2020-11-13,1503.6054092827,0.0142425650
2020-11-16,1528.9949846444,0.0168857968
2020-11-17,1532.1002973894,0.0020309502
2020-11-18,1520.7466265535,-0.0074105271
2020-11-19,1540.0545354850,0.0126963352
2020-11-20,1534.5806119497,-0.0035543699
2020-11-23,1552.6017334696,0.0117433528
2020-11-24,1557.6661291867,0.0032618769
2020-11-25,1569.2481349156,0.0074354867
2020-11-27,1594.0021829678,0.0157744639
2020-11-30,1595.9899288090,0.0012470158
2020-12-01,1609.6203958262,0.0085404468
2020-12-02,1603.5060702165,-0.0037986134
2020-12-03,1625.7105592625,0.0138474618
2020-12-04,1664.5343096566,0.0238810963
2020-12-07,1672.1970988581,0.0046035634
2020-12-08,1679.5571682992,0.0044014366
2020-12-09,1636.1094807320,-0.0258685375
2020-12-10,1652.9702875228,0.0103054270
